Code,Date,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
13680,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＴＯＰＩＸダブルインバース（?２倍）指数,Daiwa ETF Japan TOPIX Double Inverse (-2x) Index,99,その他,9999,その他,-,109,その他
13690,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　日経２２５,One ETF Nikkei225,99,その他,9999,その他,-,109,その他
13850,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,UBS ETF EURO STOXX 50 UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13860,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,UBS ETF MSCI Europe UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13870,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,UBS ETF MSCI EMU UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13880,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,UBS ETF MSCI EMU Small Cap UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13890,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,UBS ETF FTSE 100 UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13900,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,UBS ETF MSCI Pacific (ex Japan) UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13910,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,UBS ETF MSCI Switzerland 20/35 UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13920,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,UBS ETF MSCI United Kingdom UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13930,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,UBS ETF MSCI USA UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13940,2023-03-14 00:00:00+00:00,ＵＢＳ（Ｌｕｘ）ファンド・ソリューションズ・シキャブ　ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,UBS ETF MSCI World UCITS ETF-JDR,99,その他,9999,その他,-,109,その他
13970,2023-03-14 00:00:00+00:00,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　日経２２５上場投信,SMDAM NIKKEI225 ETF,99,その他,9999,その他,-,109,その他
13980,2023-03-14 00:00:00+00:00,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,SMDAM REIT Index ETF,99,その他,9999,その他,-,109,その他
13990,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,99,その他,9999,その他,-,109,その他
14560,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?日経平均インバース・インデックス,Daiwa ETF Japan Nikkei225 Inverse Index,99,その他,9999,その他,-,109,その他
14570,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＴＯＰＩＸインバース（?１倍）指数,Daiwa ETF Japan TOPIX Inverse (-1x) Index,99,その他,9999,その他,-,109,その他
14580,2023-03-14 00:00:00+00:00,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経レバレッジ指数連動型,Rakuten ETF - Nikkei 225 Leveraged Index,99,その他,9999,その他,-,109,その他
14590,2023-03-14 00:00:00+00:00,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経ダブルインバース指数連動型,Rakuten ETF - Nikkei 225 Double Inverse Index,99,その他,9999,その他,-,109,その他
14640,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＪＰＸ日経４００レバレッジ・インデックス,Daiwa ETF Japan JPX-Nikkei 400 Leveraged (2x) Index,99,その他,9999,その他,-,109,その他
14650,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＪＰＸ日経４００インバース・インデックス,Daiwa ETF Japan JPX-Nikkei 400 Inverse (-1x) Index,99,その他,9999,その他,-,109,その他
14660,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＪＰＸ日経４００ダブルインバース・インデックス,Daiwa ETF Japan JPX-Nikkei 400 Double Inverse (-2x) Index,99,その他,9999,その他,-,109,その他
14670,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,JPX-Nikkei 400 Bull 2x Leveraged ETF,99,その他,9999,その他,-,109,その他
14680,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　ＪＰＸ日経４００ベア上場投信（インバース）,JPX-Nikkei 400 Bear -1x Inverse ETF,99,その他,9999,その他,-,109,その他
14690,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,JPX-Nikkei 400 Bear -2x Double Inverse ETF,99,その他,9999,その他,-,109,その他
14720,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund,99,その他,9999,その他,-,109,その他
14730,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　トピックス,One ETF TOPIX,99,その他,9999,その他,-,109,その他
14740,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,One ETF JPX-Nikkei 400,99,その他,9999,その他,-,109,その他
14750,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,iShares Core TOPIX ETF,99,その他,9999,その他,-,109,その他
14760,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　Ｊリート　ＥＴＦ,iShares Core Japan REIT ETF,99,その他,9999,その他,-,109,その他
14770,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,iShares MSCI Japan Minimum Volatility (ex-REITs) ETF,99,その他,9999,その他,-,109,その他
14780,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,iShares MSCI Japan High Dividend ETF,99,その他,9999,その他,-,109,その他
14790,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＭＳＣＩ日本株人材設備投資指数,Daiwa ETF MSCI Japan Human and Physical Investment Index,99,その他,9999,その他,-,109,その他
14800,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,99,その他,9999,その他,-,109,その他
14810,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド日本経済貢献株,Listed Index Fund Japanese Economy Contributor Stocks,99,その他,9999,その他,-,109,その他
14820,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　米国債７?１０年　ＥＴＦ（為替ヘッジあり）,iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF,99,その他,9999,その他,-,109,その他
14830,2023-03-14 00:00:00+00:00,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,iShares JPX/S&P CAPEX & Human Capital ETF,99,その他,9999,その他,-,109,その他
14840,2023-03-14 00:00:00+00:00,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,One ETF JPX/S&P CAPEX & Human Capital Index,99,その他,9999,その他,-,109,その他
14850,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF,99,その他,9999,その他,-,109,その他
14860,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジなし）,Listed Index Fund US Bond (No Currency Hedge),99,その他,9999,その他,-,109,その他
14870,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジあり）,Listed Index Fund US Bond (Currency Hedge),99,その他,9999,その他,-,109,その他
14880,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?東証ＲＥＩＴ指数,Daiwa ETF Tokyo Stock Exchange REIT Index,99,その他,9999,その他,-,109,その他
14890,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,99,その他,9999,その他,-,109,その他
14900,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged),99,その他,9999,その他,-,109,その他
