Date,Open,Hight,Low,Close,Volume,Adj Close
2016/06/17,12000,12000,12000,12000,100,2400
2017/11/06,2050,2050,2050,2050,700,2050
2017/12/18,4030,4630,4010,4345,1559200,4345
2017/12/19,4300,5050,4265,5050,799200,5050
2017/12/20,5250,5330,4430,4720,1152200,4720
2017/12/21,4850,5200,4730,4920,344300,4920
2017/12/22,5130,5170,4865,5100,295800,5100
2017/12/25,5200,5220,4900,4960,112900,4960
2017/12/26,4900,5000,4615,4625,101500,4625
2017/12/27,4705,4960,4705,4920,82700,4920
2017/12/28,5100,5140,4720,4850,155700,4850
2017/12/29,4920,5000,4830,4850,27500,4850
2018/01/04,4795,4975,4780,4860,38900,4860
2018/01/05,4860,4910,4820,4865,17000,4865
2018/01/09,4920,5570,4920,5570,221600,5570
2018/01/10,5900,6570,5890,6570,654300,6570
2018/01/11,6420,6540,6100,6330,364200,6330
2018/01/12,6930,7330,6870,7330,713800,7330
2018/01/15,7930,8000,7070,7210,423000,7210
2018/01/16,6900,7290,6520,6600,224400,6600
2018/01/17,6500,7590,6450,7370,518900,7370
2018/01/18,7520,7660,6830,7180,281100,7180
2018/01/19,7140,7290,6930,7030,74200,7030
2018/01/22,6910,7020,6750,6840,72300,6840
2018/01/23,6940,7840,6940,7840,357100,7840
2018/01/24,8130,8990,7710,8410,1132800,8410
2018/01/25,8500,9190,8410,9100,624900,9100
2018/01/26,9200,9200,8520,8950,393800,8950
2018/01/29,8850,9100,8650,8780,135600,8780
2018/01/30,9220,9540,8930,9030,608600,9030
2018/01/31,8910,9180,8800,8930,153300,8930
2018/02/01,8870,9040,8550,8700,102700,8700
2018/02/02,8700,8930,8550,8710,62100,8710
2018/02/05,8260,8390,7220,7320,255200,7320
2018/02/06,6670,7430,6500,7240,235300,7240
2018/02/07,7800,8340,7220,7260,262500,7260
2018/02/08,7700,7900,7460,7800,90400,7800
2018/02/09,7270,7880,7220,7880,82300,7880
2018/02/13,8280,8290,7580,7800,76700,7800
2018/02/14,7030,7460,6900,7250,215600,7250
2018/02/15,7260,7430,7110,7370,91200,7370
2018/02/16,7440,7800,7440,7790,53800,7790
2018/02/19,7940,8700,7870,8590,168500,8590
2018/02/20,8800,9080,8710,9000,159800,9000
2018/02/21,9000,9100,8510,8630,98000,8630
2018/02/22,8560,10130,8500,10080,602300,10080
2018/02/23,10200,10450,9610,10000,412500,10000
2018/02/26,10600,12390,10450,11950,1194200,11950
2018/02/27,11990,12000,10500,10560,510500,10560
2018/02/28,10560,11630,10560,11360,360500,11360
2018/03/01,11060,11880,10810,11290,278300,11290
2018/03/02,10850,11510,10830,11100,144400,11100
2018/03/05,11200,11390,10150,10370,107500,10370
2018/03/06,10890,11050,10640,10650,57100,10650
2018/03/07,10530,10690,10010,10200,56600,10200
2018/03/08,10220,10330,9860,10070,61600,10070
2018/03/09,10270,10270,9720,9900,40100,9900
2018/03/12,10350,11090,10060,10680,189000,10680
2018/03/13,10600,12160,10540,12120,350500,12120
2018/03/14,11990,12440,11630,11790,360700,11790
2018/03/15,11620,11750,10810,11280,251500,11280
2018/03/16,11280,11280,10340,10580,192500,10580
2018/03/19,10600,11000,10010,10360,129300,10360
2018/03/20,10060,10650,9960,10150,120300,10150
2018/03/22,10140,10360,10060,10150,47800,10150
2018/03/23,9550,9980,9460,9610,76900,9610
2018/03/26,9550,9980,8800,9630,128200,9630
2018/03/27,10120,10400,9530,9560,98600,9560
2018/03/28,9430,9650,9240,9490,44500,9490
2018/03/29,9640,9850,9490,9490,34100,9490
2018/03/30,9690,9730,9320,9700,37900,9700
2018/04/02,9710,10080,9710,9970,46600,9970
2018/04/03,9820,9990,9760,9990,28400,9990
2018/04/04,10250,10260,9450,9570,48800,9570
2018/04/05,9680,9850,9420,9740,32300,9740
2018/04/06,9740,9820,9480,9570,20400,9570
2018/04/09,9320,9450,8990,9050,36700,9050
2018/04/10,8990,9000,8540,8660,37600,8660
2018/04/11,8650,8650,8100,8590,46800,8590
2018/04/12,8500,8650,8220,8230,21400,8230
2018/04/13,8270,8540,8230,8230,32700,8230
2018/04/16,8240,8600,8210,8220,27300,8220
2018/04/17,8220,8430,7800,8190,35800,8190
2018/04/18,8170,8640,7950,8390,29200,8390
2018/04/19,8640,8640,8300,8300,28900,8300
2018/04/20,8260,8370,8200,8300,6200,8300
2018/04/23,8220,8480,8080,8340,15900,8340
2018/04/24,8300,8500,8300,8450,13000,8450
2018/04/25,8350,8540,8280,8350,10600,8350
2018/04/26,8440,8440,8100,8160,10700,8160
2018/04/27,8210,8250,8090,8220,8600,8220
2018/05/01,8290,8290,8110,8290,8100,8290
2018/05/02,8160,8350,8160,8340,4900,8340
2018/05/07,8470,8470,8340,8450,5500,8450
2018/05/08,8460,8520,8380,8440,5000,8440
2018/05/09,8440,8440,8120,8390,7800,8390
2018/05/10,8400,8800,8360,8600,30300,8600
2018/05/11,8050,8200,7840,7990,51600,7990
2018/05/14,8000,8070,7960,8060,12700,8060
2018/05/15,8140,8140,7950,7950,5200,7950
2018/05/16,7900,7900,7240,7240,38500,7240
2018/05/17,7220,8050,7220,7940,58300,7940
2018/05/18,7920,7940,7740,7840,12700,7840
2018/05/21,7940,7970,7800,7820,16900,7820
2018/05/22,7820,7830,7720,7720,7400,7720
2018/05/23,7700,7820,7700,7740,7300,7740
2018/05/24,7740,7740,7500,7520,12100,7520
2018/05/25,7500,7640,7500,7500,5300,7500
2018/05/28,7530,7600,7320,7380,5200,7380
2018/05/29,7300,7300,7020,7030,16300,7030
2018/05/30,6780,6890,6690,6720,26600,6720
2018/05/31,6920,6920,6650,6680,8900,6680
2018/06/01,6680,6860,6610,6780,17400,6780
2018/06/04,6710,6710,6510,6650,23400,6650
2018/06/05,6690,7650,6650,7280,144100,7280
2018/06/06,7200,8200,7190,8160,153800,8160
2018/06/07,8190,8680,7730,7900,131600,7900
2018/06/08,7920,8280,7610,8130,56000,8130
2018/06/11,8280,8550,8050,8470,51000,8470
2018/06/12,8550,9160,8500,8870,107900,8870
2018/06/13,9000,9470,8860,9400,108400,9400
2018/06/14,9450,9850,9030,9120,109800,9120
2018/06/15,9420,9830,9350,9770,112200,9770
2018/06/18,9850,9890,9370,9770,72700,9770
2018/06/19,9620,9710,9050,9100,58600,9100
2018/06/20,9060,9190,8400,8910,48200,8910
2018/06/21,8920,9440,8920,9170,31500,9170
2018/06/22,9300,9300,8910,8940,18600,8940
2018/06/25,8930,8930,8530,8560,10600,8560
2018/06/26,8270,8900,8220,8720,19500,8720
2018/06/27,8720,9000,8640,8810,12700,8810
2018/06/28,8720,8870,8460,8550,14500,8550
2018/06/29,8550,8720,8390,8390,8300,8390
2018/07/02,8420,8420,7940,7940,12000,7940
2018/07/03,7940,8150,7940,8000,8000,8000
2018/07/04,7900,7900,7690,7740,8100,7740
2018/07/05,7610,7770,7460,7520,12400,7520
2018/07/06,7540,7800,7280,7620,9400,7620
2018/07/09,7770,8370,7700,8220,14300,8220
2018/07/10,8220,8440,8100,8220,15700,8220
2018/07/11,8070,8220,7890,8030,8800,8030
