Date,Open,Hight,Low,Close,Volume,Adj Close
2016/06/27,3870,4150,3360,3430,1979700,857.5
2016/06/28,3460,4130,3460,4130,587700,1032.5
2016/06/29,4700,4830,4635,4830,196100,1207.5
2016/06/30,5530,5530,4905,5350,1955900,1337.5
2016/07/01,5240,6340,5010,6340,3126400,1585
2016/07/04,6050,7140,5800,6630,3086300,1657.5
2016/07/05,6600,6780,5630,5630,948600,1407.5
2016/07/06,5330,5760,5030,5650,561700,1412.5
2016/07/07,5700,5730,4650,4770,315600,1192.5
2016/07/08,4800,4940,4150,4470,271900,1117.5
2016/07/11,4600,4650,4060,4440,220800,1110
2016/07/12,4420,5050,4325,4810,502500,1202.5
2016/07/13,4795,4870,4305,4310,236300,1077.5
2016/07/14,4275,4540,4120,4215,139100,1053.8
2016/07/15,4145,4185,3805,3870,80400,967.5
2016/07/19,3850,3850,3500,3700,64300,925
2016/07/20,3745,3895,3610,3850,48400,962.5
2016/07/21,3845,3865,3565,3580,26000,895
2016/07/22,3650,3670,3540,3550,24000,887.5
2016/07/25,3500,3750,3450,3475,20300,868.8
2016/07/26,3415,3575,3350,3425,24700,856.3
2016/07/27,3450,3860,3435,3720,58700,930
2016/07/28,3730,3740,3515,3555,30600,888.8
2016/07/29,3555,3555,3300,3475,29100,868.8
2016/08/01,3390,3555,3365,3515,11000,878.8
2016/08/02,3515,3570,3435,3505,12500,876.3
2016/08/03,3435,3465,3205,3205,28900,801.3
2016/08/04,3210,3340,3020,3055,34100,763.8
2016/08/05,3095,3120,2840,2910,36800,727.5
2016/08/08,2810,2887,2755,2817,36000,704.3
2016/08/09,2810,2810,2580,2649,61000,662.3
2016/08/10,2669,2669,2600,2600,13600,650
2016/08/12,2561,2700,2561,2700,17900,675
2016/08/15,2645,2778,2640,2750,10000,687.5
2016/08/16,2750,2810,2678,2700,15600,675
2016/08/17,2673,2673,2569,2577,17200,644.3
2016/08/18,2527,2527,2410,2414,18900,603.5
2016/08/19,2864,2914,2850,2914,55900,728.5
2016/08/22,2950,2979,2622,2636,191700,659
2016/08/23,2672,2822,2601,2730,53400,682.5
2016/08/24,2680,2689,2575,2655,26000,663.8
2016/08/25,2699,2893,2633,2870,58900,717.5
2016/08/26,2890,3360,2836,3310,187300,827.5
2016/08/29,3380,3955,3350,3820,594200,955
2016/08/30,3890,3890,3485,3650,177400,912.5
2016/08/31,3485,3485,3230,3295,80400,823.8
2016/09/01,3375,3695,3375,3495,102800,873.8
2016/09/02,3375,3620,3245,3595,65900,898.8
2016/09/05,3650,3670,3515,3605,38100,901.3
2016/09/06,3600,3770,3540,3540,50600,885
2016/09/07,3500,3760,3490,3735,50500,933.8
2016/09/08,3785,3840,3605,3615,52900,903.8
2016/09/09,3600,3700,3560,3700,21900,925
2016/09/12,3600,3690,3315,3490,42500,872.5
2016/09/13,3545,3545,3440,3475,12200,868.8
2016/09/14,3380,3465,3325,3430,12100,857.5
2016/09/15,3360,3365,3240,3275,16400,818.8
2016/09/16,3295,3545,3290,3480,16400,870
2016/09/20,3550,3625,3490,3545,16200,886.3
2016/09/21,3545,3825,3520,3730,60400,932.5
2016/09/23,3830,3880,3705,3730,31700,932.5
2016/09/26,3780,3780,3600,3725,26000,931.3
2016/09/27,3650,3745,3635,3705,21500,926.3
2016/09/28,3630,3840,3625,3825,31900,956.3
2016/09/29,3830,3830,3710,3785,21600,946.3
2016/09/30,3785,3875,3670,3700,24800,925
2016/10/03,3730,3750,3580,3750,21500,937.5
2016/10/04,3785,4400,3775,4365,224800,1091.3
2016/10/05,4380,4490,4100,4145,121900,1036.3
2016/10/06,4180,4225,3980,4040,57100,1010
2016/10/07,4065,4690,4045,4590,226300,1147.5
2016/10/11,4690,4965,4450,4630,194400,1157.5
2016/10/12,4595,4660,4370,4440,53400,1110
2016/10/13,4510,4635,4240,4635,64200,1158.8
2016/10/14,4650,4650,4450,4560,33100,1140
2016/10/17,4520,4520,4320,4365,28900,1091.3
2016/10/18,4330,4365,4280,4310,20000,1077.5
2016/10/19,4340,4535,4305,4490,30200,1122.5
2016/10/20,4455,4605,4330,4340,27700,1085
2016/10/21,4310,4470,4280,4415,44100,1103.8
2016/10/24,4430,4460,4290,4315,21500,1078.8
2016/10/25,4245,4315,3920,3925,59600,981.3
2016/10/26,3885,3885,3715,3800,34500,950
2016/10/27,3865,3975,3815,3930,27000,982.5
2016/10/28,3930,3930,3720,3815,15100,953.8
2016/10/31,3780,3905,3765,3845,11200,961.3
2016/11/01,3845,3915,3750,3860,12100,965
2016/11/02,3750,3930,3420,3590,37400,897.5
2016/11/04,3590,3600,3355,3375,15700,843.8
2016/11/07,3400,3590,3385,3480,16700,870
2016/11/08,3480,3610,3410,3545,13500,886.3
2016/11/09,3575,3615,2999,3290,36300,822.5
2016/11/10,3510,3590,3325,3465,18800,866.3
2016/11/11,3495,3550,3330,3355,10700,838.8
2016/11/14,3355,3690,3300,3655,25400,913.8
2016/11/15,4005,4155,3865,4010,87400,1002.5
2016/11/16,4055,4060,3925,4015,23800,1003.8
2016/11/17,4140,4375,4140,4270,59500,1067.5
2016/11/18,4270,4395,4185,4335,34500,1083.8
2016/11/21,4355,4355,4165,4175,22600,1043.8
2016/11/22,4170,4205,4055,4075,19200,1018.8
2016/11/24,4090,4230,4040,4125,26800,1031.3
2016/11/25,4085,4095,3850,3915,33900,978.8
2016/11/28,3905,4200,3885,4095,20700,1023.8
2016/11/29,4120,4310,4120,4245,32100,1061.3
2016/11/30,4295,4395,4250,4290,42400,1072.5
2016/12/01,4280,4650,4280,4450,81400,1112.5
2016/12/02,4360,4555,4350,4450,32000,1112.5
2016/12/05,4580,4850,4530,4755,67400,1188.8
2016/12/06,4750,4870,4630,4760,37700,1190
2016/12/07,4835,5380,4760,5320,130100,1330
2016/12/08,5220,5320,4850,4905,84200,1226.3
2016/12/09,4765,4945,4580,4700,49200,1175
2016/12/12,4800,5080,4715,4870,36500,1217.5
2016/12/13,4800,5140,4765,5140,32000,1285
2016/12/14,5200,5210,4920,4990,18500,1247.5
2016/12/15,5060,5070,4725,4850,24200,1212.5
2016/12/16,4815,4815,4630,4670,31900,1167.5
2016/12/19,4715,4900,4675,4800,15700,1200
